Model,Accuracy,Precision,Recall,F1,F2,Balanced_Acc,ROC_AUC,PR_AUC,model,RMSE,MAE,R2,MSE,tuning_time_s
,,,,,,,,,Stacking Ensemble,41.19846814192005,19.682208449343985,-0.1319263639794379,1697.3137772408015,
,,,,,,,,,XGBoost (Optuna),41.247725322965906,19.598968413418387,-0.13463466043773753,1701.374844318843,
,,,,,,,,,Stacking Ensemble,41.25048893718156,19.66608114942378,-0.1347867074899778,1701.6028375565384,
,,,,,,,,,XGBoost (Advanced Optuna),41.25166253097621,19.5975948143008,-0.13485127872863734,1701.6996615695468,
,,,,,,,,,Voting Ensemble,41.25898007256392,19.604986035202696,-0.13525393197755187,1702.303436628227,
,,,,,,,,,XGBoost (tuned),41.31605770239498,19.57773596885921,-0.13839712281979644,1707.0166240676315,0.0
,,,,,,,,,Baseline Mean,41.34021267248745,19.685818562642982,-0.13972861416569815,1709.013183806492,
,,,,,,,,,Linear Regression,41.34158248156767,19.71514391500582,-0.13980414529479113,1709.1264420802627,
,,,,,,,,,Deep Neural Network,41.44028873931548,19.516336049922543,-0.14525338565674284,1717.2975307978372,
,,,,,,,,,Deep Neural Network,41.45309968163508,19.532595966477075,-0.1459615874257869,1718.3594732155743,
Dummy_MostFrequent,0.53065,0.53065,1.0,0.69336556364943,0.8496925638890668,0.5,,,,,,,,
Dummy_Stratified,0.50115,0.5298703738493331,0.5315179496843494,0.5306928830142528,0.531187615352744,0.49916687939101884,0.49916687939101884,0.5302356147068772,,,,,,
Logistic_Regression,0.9995,0.9997172212272599,0.9993404315462169,0.9995287908773914,0.9994157667590132,0.9995104203112996,0.9999765920401433,0.9999791742072268,,,,,,
Random_Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,,,,,,
Random_Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Extra_Trees,0.97635,0.9984270546598506,0.9569396023744464,0.9772432042338225,0.9649589540893889,0.9776175587242425,0.9994682418175955,0.9995304717056933,,,,,,
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Optimized_Model,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,,,,,,
